full_name,division,subdivision,conference_id,conference_name,reclass_year,reclass_division,reclass_subdivision,private,historically_black,region,state,simple_name,Latitude,Longitude
University of Miami (Florida),1,FBS,821,Atlantic Coast Conference,,,,Y,N,Unassigned,FL,Miami (FL),25.7173947,-80.2781262
Miami University (Ohio),1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,OH,Miami  (OH),39.5087485,-84.73449149999999
University of Michigan,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,MI,Michigan,42.277145,-83.7382071
Michigan State University,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,MI,Michigan State,42.7250725,-84.47908269999999
Middle Tennessee State University,1,FBS,24312,Conference USA,,,,N,N,Unassigned,TN,Middle Tennessee State,35.8486229,-86.36691549999999
"University of Minnesota, Twin Cities",1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,MN,Minnesota,44.97399,-93.2277285
University of Mississippi,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,MS,Mississippi,34.3662492,-89.5379687
Mississippi State University,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,MS,Mississippi State,33.4551742,-88.79437659999999
"University of Missouri, Columbia",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,MO,Missouri,38.9403808,-92.32773750000001
"University of Nebraska, Lincoln",1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,NE,Nebraska,40.8201966,-96.70047629999999
"University of Nevada, Las Vegas",1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,NV,Nevada Las Vegas,36.107496,-115.1435252
"University of Nevada, Reno",1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,NV,Nevada,39.5437205,-119.8141582
University of New Mexico,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,NM,New Mexico,35.0843187,-106.6197812
New Mexico State University,1,FBS,24312,Conference USA,,,,N,N,Unassigned,NM,New Mexico State,32.2792887,-106.7491391
North Carolina State University,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,NC,North Carolina State,35.7850744,-78.6812824
"University of North Carolina, Chapel Hill",1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,NC,North Carolina,35.9049122,-79.0469134
The University of North Carolina at Charlotte,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,NC,Charlotte,35.3070929,-80.735164
University of North Texas,1,FBS,823,American Athletic Conference,,,,N,N,West Region,TX,North Texas,33.207488,-97.1525862
Northern Illinois University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,IL,Northern Illinois,41.935056,-88.7734365
Northwestern University,1,FBS,827,Big Ten Conference,,,,Y,N,Unassigned,IL,Northwestern,42.0564594,-87.67526699999999
University of Notre Dame,1,FBS,0,Independent,,,,Y,N,Unassigned,IN,Notre Dame,41.7050504,-86.2355439
The Ohio State University,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,OH,Ohio State,40.0066723,-83.0304546
Ohio University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,OH,Ohio,39.324358,-82.10138889999999
University of Oklahoma,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,OK,Oklahoma,35.1987162,-97.4448963
Oklahoma State University,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,OK,Oklahoma State,36.1270236,-97.07372219999999
Old Dominion University,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,VA,Old Dominion,36.8853217,-76.3058786
University of Oregon,1,FBS,905,Pac-12 Conference,,,,N,N,West Region,OR,Oregon,44.0448302,-123.0726055
Oregon State University,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,OR,Oregon State,44.5637806,-123.2794442
Pennsylvania State University,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,PA,Penn State,40.7982133,-77.8599084
University of Pittsburgh,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,PA,Pittsburgh,40.44402789999999,-79.9605375
Purdue University,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,IN,Purdue,40.4237054,-86.92119459999999
Rice University,1,FBS,823,American Athletic Conference,,,,Y,N,Unassigned,TX,Rice,29.7173941,-95.40183119999999
